ProbeID,M,R1,R2,R3,R4,R5,Common Name
1449939_s_at,0.01,0.01,0.78,0.1,0.71,0.08,Dlk1
1451446_at,0,0.01,0.37,0.61,0.45,0.33,2310008J16Rik
1423756_s_at,0.66,0.93,0.53,0.46,0.01,0.74,Igfbp4
1434449_at,0.21,0.41,0.73,0.4,0.78,0.45,Aqp4
1422592_at,0.14,0.27,0.03,0.82,0.02,0.04,Catnd2
1420508_at,0.04,0.03,0.09,0.1,0.12,0.01,Sema3f
1424767_at,0.01,0.15,0.6,0.33,0.33,0.37,Cdh22
1423613_at,0.55,0.7,0.69,0.02,0.57,0.32,Ssfa2
1455235_x_at,0.01,0,0.19,0.22,0.54,0.6,Ldh2
1449822_at,0.04,0.38,0.03,0.02,0.47,0.15,Atoh1
1438138_a_at,0.19,0.26,0.12,0.1,0.43,0.99,Pex6
1438244_at,0.03,0.14,0.43,0.53,0.22,0.56,Nfib
1419072_at,0.02,0.52,0.65,0.69,0.12,0.39,NA
1435105_at,0.16,0.03,0.32,0.27,0.31,0.43,1110061N23Rik
1451011_at,0.31,0.02,0.46,0.35,0.31,0.71,Zfp358
1416232_at,0.18,0.18,0.36,0.41,0.3,1.59E-004,Olig2
1431429_a_at,0,0.06,0.44,0.47,0.92,0.26,Arl4
1423422_at,0,0.56,0.38,0.31,0.93,0.14,Asb4
1453317_a_at,0.07,0.9,0.56,0.96,0.02,0.11,Khdrbs3; Etle; Slm2; SLM-2; T-STAR; T-star
1460549_a_at,0.2,0.17,0.3,0.24,0.54,0.04,Kif20a
1436031_at,2.49E-004,0.74,0.72,0.63,0.26,0.32,1190007F10Rik
1427475_a_at,0.38,0.39,0.25,0.28,0.62,0.02,Nrap
1419118_at,0.04,0.47,0.13,0.59,0.25,0.52,AB030198
1424077_at,0.24,0.97,0.65,0.55,0.04,0.67,2610020H15Rik
1452129_at,0.78,0,0.68,0.47,0.33,0.57,Pthr2
1427233_at,0.77,0.35,0.14,0.09,0.03,8.28E-005,Sdccag33
1419639_at,0.03,0.01,0.5,0.17,0.11,0.37,Efnb2
1418589_a_at,0.51,0.03,0.06,0.43,0.66,0.35,Mlf1
1426225_at,4.50E-004,0.26,0.8,0.87,0.57,0.2,Rbp4
1436761_s_at,0.1,0.51,0.5,0.68,0.43,0.34,4921522K17Rik
1421950_at,0.06,0.04,0.67,0.74,0.15,0.4,Pfdn2
1430700_a_at,0.19,0.2,0.12,0.06,0.62,0,Pla2g7
1420390_s_at,0.3,0.41,0.75,0.43,0.14,0.4,Zfp354a
1451782_a_at,0.01,0.07,0.96,0.79,0.99,0.73,Slc29a1
1452106_at,0.01,0.11,0.55,0.99,0.66,0.87,NA
1455202_at,0.44,0.52,0.92,0.56,0.06,0.4,MGC38336
1452864_at,0.1,0.31,0.1,0.01,0.66,0.23,6530405F15Rik
1427247_at,0.58,0.22,0.98,0.81,0.31,0.72,A330086D10
1455898_x_at,0.8,0.05,0,0.01,0.93,0.8,Slc2a3
1434195_at,0.1,0.68,0.36,0.36,0.9,0.26,6030424L22Rik
1451152_a_at,0.16,0.22,0.01,0.07,0.33,0.14,Atp1b1
1452517_at,0.05,0.7,0.62,0.25,0.21,0.48,D630024D12Rik
1415936_at,0.02,0.04,0.08,0.21,0.97,0.19,Bcar3
1421299_a_at,0.01,0.99,0.78,0.57,0.39,0.95,Lef1
1449563_at,0.01,0.09,0.99,0.46,0.26,0.26,Cntn1
1422409_at,0,0.36,0.63,0.3,0.18,0.47,Hes3
1417027_at,0.91,0.77,0.11,0.07,0.03,0.3,Trim2
1426869_at,0.16,0.02,0.07,0.04,0.89,0.1,Boc
