"ids","r2","r3","r4","r5","name"
"1426528_at",2,1.03,1.05,0.76,"Nrp2"
"1437062_s_at",0.41,0.71,1.16,1.17,"4921522K17Rik"
"1423739_x_at",0.9,0.96,0.92,1.66,"Aplp2"
"1449405_at",0.53,0.9,1.21,1.12,"Tns"
"1422777_at",1.09,0.7,1.52,0.97,"C1qrf-pending"
"1448326_a_at",0.73,0.94,1.06,1.51,"Crabp1"
"1424843_a_at",0.95,1.06,0.92,1.5,"Gas5"
"1421947_at",1.07,0.99,0.83,1.7,"Gng12"
"1419473_a_at",1.22,1.74,0.76,0.82,"Cck"
"1456379_x_at",0.92,1.23,1.28,0.4,"Dner"
"1438789_s_at",1.06,0.82,1.46,0.85,"Dpysl3"
"1449351_s_at",0.84,1.01,0.94,1.36,"Pdgfc"
"1448152_at",0.97,1.35,1.01,0.79,"Igf2"
"1434709_at",0.84,0.98,1.01,1.46,"C130076O07Rik"
"1417428_at",1.17,0.85,1.05,0.56,"Gng3"
"1415885_at",0.75,1.2,1.91,0.79,"Chgb"
"1452421_at",0.32,0.31,1.46,4.13,"5730446D14Rik"
"1439516_at",0.92,1.02,0.77,1.33,"2610201A13Rik"
"1452670_at",0.9,1.68,0.81,1.24,"Myl9"
"1423505_at",0.99,1.61,0.99,0.68,"Tagln"
"1451152_a_at",1.63,1.39,0.83,0.75,"Atp1b1"
"1434914_at",0.81,1.16,1.58,0.81,"D9Bwg0185e"
"1420389_at",1.08,1.53,0.92,0.89,"Pax3"
"1418507_s_at",0.89,0.93,1.09,1.9,"D130043N08Rik"
"1460214_at",1.07,0.73,1.75,0.61,"Pcp4"
"1419309_at",1.14,0.97,1.07,0.48,"Gp38"
"1434745_at",0.85,1.16,0.69,1.31,"2600016F06Rik"
"1451674_at",0.46,0.85,2.67,1.21,"Slc12a5"
"1427981_a_at",1.49,1.37,0.68,0.9,"Csad"
"1418601_at",0.59,0.77,1.23,1.94,"Aldh1a7"
"1424221_at",1.61,0.87,1.09,0.51,"E430021N18Rik"
"1420150_at",0.69,0.81,1.19,1.35,"4930422J18Rik"
"1452526_a_at",0.77,1.14,0.66,1.44,"Pax6"
"1427433_s_at",0.2,0.87,1.51,10.92,"5730446D14Rik"
"1423608_at",0.75,1.19,0.73,1.56,"Itm2a"
"1456741_s_at",1.78,1.17,0.84,0.78,"App"
"1417932_at",1.18,0.82,1.12,0.47,"Il18"
"1423280_at",1.1,0.8,1.12,0.43,"Stmn2"
"1427256_at",0.78,1.11,0.93,1.5,"Cspg2"
"1434881_s_at",0.62,1.02,0.97,1.52,"6430514H16"
"1422798_at",1.63,1.3,0.75,0.66,"Cntnap2"
"1448895_a_at",1.36,1.12,0.87,0.53,"Catna2"
"1451888_a_at",0.66,0.86,1.05,2.7,"Odz4"
"1449106_at",0.65,0.81,1.89,1.14,"Gpx3"
"1434679_at",1.34,0.97,1.04,0.59,"Cspg3"
"1450982_at",0.93,1.01,0.75,1.41,"Slc9a3r1"
"1441350_at",0.74,0.94,1.05,2.41,"Fgf3"
"1448673_at",0.89,1.07,0.84,1.31,"Pvrl3"
"1448134_at",0.74,1.08,0.98,2.09,"Pald"
"1448395_at",0.71,0.82,1.23,1.41,"Sfrp1"
"1451253_at",1.01,0.87,0.53,1.22,"LOC218699"
"1422831_at",0.93,1.13,0.79,1.98,"Fbn2"
"1451461_a_at",0.65,1.27,3.29,0.96,"Aldo3"
"1423281_at",1.23,0.95,1.11,0.45,"Stmn2"
"1424852_at",0.35,0.98,1.07,1.63,"5430401D19Rik"
"1427682_a_at",0.06,0.74,0.96,7.75,"Egr2"
"1452454_at",0.74,1.09,0.93,1.31,"4931421J16"
"1449933_a_at",0.99,0.92,0.97,1.35,"5730449L18Rik"
"1419186_a_at",0.67,1.35,0.77,1.2,"Siat8d; PST; PST-1; ST8SiaIV"
"1422232_at",1.24,0.95,1.51,0.57,"Phox2b"
"1449319_at",1.72,1.19,0.89,0.7,"R-spondin"
"1419602_at",0.78,1.54,0.84,1.22,"Hoxa2"
"1418835_at",1.69,1.08,0.8,0.71,"Phlda1"
"1448992_at",1.24,0.91,1.49,0.56,"MGC25352"
"1451718_at",2.16,1.07,0.96,0.56,"Plp"
"1437052_s_at",1.18,1.31,0.76,0.85,"Slc2a3"
"1454904_at",0.87,1.2,0.79,1.56,"lpr; APT1; CD95; APO-1; TNFR6; Tnfrsf6; AI196731"
"1427233_at",0.56,0.98,1.03,1.81,"Sdccag33"
"1417416_at",0.41,1.16,0.7,6.01,"Kcna1"
"1423287_at",1.81,1.25,0.81,0.42,"Cbln1"
"1416503_at",0.8,1.21,0.74,1.7,"Lxn"
"1418478_at",0.95,0.99,1.24,0.55,"Lmo1"
"1452298_a_at",0.84,1.27,0.49,1.33,"Myo5b"
"1418094_s_at",0.76,1.8,0.71,1.32,"Car4"
"1451277_at",0.92,0.98,1.05,1.4,"C530046K17Rik"
"1418346_at",1.63,1.81,0.5,0.42,"Insl6"
"1456194_a_at",1.34,0.92,1.23,0.55,"Park7"
"1448601_s_at",0.99,1.65,0.63,1.04,"Msx1"
"1417625_s_at",0.95,1,1.01,2.54,"Cmkor1"
"1423757_x_at",1,0.96,1.47,0.99,"Igfbp4"
"1427605_at",0.05,0.4,1.83,4.51,"Hoxb3"
"1450333_a_at",0.87,1,2.49,0.85,"Gata2"
"1448475_at",0.62,1.01,0.96,1.77,"2810002E22Rik"
"1427683_at",0.41,1.11,1.1,14.04,"Egr2"
"1423424_at",1.5,1.5,0.67,0.57,"Zic3"
"1416612_at",0.41,1.08,3.1,0.87,"Cyp1b1"
"1416710_at",0.58,1.08,0.81,1.58,"9030603L14Rik"
"1435113_x_at",1.24,0.84,1.23,0.54,"Stmn3"
"1417817_a_at",0.92,1.06,0.81,1.45,"2310058J06Rik"
"1422520_at",1.35,0.89,1.11,0.33,"Nef3"
"1422643_at",0.92,1.09,0.98,0.32,"3230402N08Rik"
"1423824_at",1.32,1.29,0.76,0.78,"5031439A09Rik"
"1421928_at",0.76,1.68,0.68,1.42,"Epha4"
"1426255_at",1.27,0.83,1.21,0.34,"Nefl"
"1417624_at",0.48,1.14,0.94,3.1,"Nab1"
"1421180_at",1.54,1.5,0.13,0.73,"Lix1"
"1418666_at",1.92,1.09,0.85,0.3,"Ptx3"
"1421836_at",0.61,1.41,0.71,1.98,"Mtap7"
"1421537_at",0.96,0.74,1.08,9.29,"Hoxd3"
"1453501_at",0.21,1.79,8.75,0.41,"Hoxb1"
"1449397_at",0.12,0.94,1.11,1.51,"AI894218"
